Date,XLE,XLF,XLK,XLP,XLV,XLY
2019-01-02,21.123750686645508,20.933624267578125,29.032197952270508,41.66740798950195,75.27328491210938,46.654296875
2019-01-03,20.914243698120117,20.463008880615234,27.5670166015625,41.42803955078125,73.7448501586914,45.64414596557617
2019-01-04,21.625837326049805,21.142786026000977,28.78878402709961,42.311241149902344,75.94474029541016,47.15470504760742
2019-01-07,21.947311401367188,21.168926239013672,29.046247482299805,42.253456115722656,76.23628997802734,48.22098159790039
2019-01-08,22.117084503173828,21.18636131286621,29.28965950012207,42.64140701293945,76.82820892333984,48.754112243652344
2019-01-09,22.46746253967285,21.290945053100586,29.668827056884766,42.24521255493164,77.17276763916016,49.001983642578125
2019-01-10,22.532482147216797,21.29965591430664,29.799903869628906,42.49283981323242,77.32298278808594,48.86168670654297
2019-01-11,22.398832321166992,21.351945877075195,29.743728637695312,42.61665725708008,77.57918548583984,48.90843963623047
2019-01-14,22.34465217590332,21.500104904174805,29.467544555664062,42.41029357910156,76.72222137451172,48.609134674072266
2019-01-15,22.42411994934082,21.691837310791016,29.912248611450195,42.83126449584961,78.1004409790039,49.04874801635742
2019-01-16,22.39521598815918,22.15373420715332,29.940336227416992,42.60013961791992,77.95909118652344,48.93651580810547
2019-01-17,22.601110458374023,22.275747299194336,30.13226318359375,42.781734466552734,78.6482162475586,49.2685432434082
2019-01-18,23.05985450744629,22.659210205078125,30.591012954711914,43.29349899291992,79.58470916748047,49.95133590698242
2019-01-22,22.557769775390625,22.397756576538086,30.076087951660156,42.897308349609375,79.0369644165039,49.20307922363281
2019-01-23,22.326587677001953,22.423906326293945,30.1790714263916,43.409061431884766,79.12529754638672,49.30129623413086
2019-01-24,22.445789337158203,22.47618865966797,30.431854248046875,42.87252426147461,78.46267700195312,49.50706481933594
2019-01-25,22.731149673461914,22.659210205078125,30.86251449584961,42.69918441772461,78.55986785888672,50.054229736328125
2019-01-28,22.503582000732422,22.58948516845703,30.450576782226562,42.88078689575195,77.66755676269531,49.764278411865234
2019-01-29,22.572214126586914,22.51105499267578,30.122892379760742,42.979835510253906,78.04743194580078,49.44158935546875
2019-01-30,22.890079498291016,22.64178466796875,31.059118270874023,43.26874542236328,79.116455078125,50.414329528808594
2019-01-31,23.038175582885742,22.606916427612305,31.02634620666504,44.069400787353516,80.10595703125,50.872642517089844
2019-02-01,23.439119338989258,22.702781677246094,31.208921432495117,43.9290771484375,80.17665100097656,50.12905502319336
2019-02-04,23.49331283569336,22.798654556274414,31.70979118347168,44.209712982177734,79.94693756103516,50.4564208984375
2019-02-05,23.529428482055664,22.73764419555664,31.976608276367188,44.21796798706055,79.83209991455078,50.92875671386719
2019-02-06,23.356048583984375,22.71150016784668,32.08428192138672,44.226234436035156,80.19432830810547,50.71830749511719
2019-02-07,22.83951759338379,22.484905242919922,31.644258499145508,44.193214416503906,79.31080627441406,50.30207443237305
2019-02-08,22.73476219177246,22.371612548828125,31.826814651489258,44.399566650390625,79.4610366821289,50.10099411010742
2019-02-11,22.843120574951172,22.44133186340332,31.81277847290039,44.515132904052734,79.36385345458984,50.189857482910156
2019-02-12,23.13209342956543,22.772504806518555,32.234073638916016,44.86179733276367,80.4505386352539,50.961483001708984
2019-02-13,23.421066284179688,22.83350944519043,32.27619552612305,44.94435119628906,80.62722778320312,51.30756759643555
2019-02-14,23.504138946533203,22.554630279541016,32.3323860168457,44.44083786010742,80.81277465820312,51.120506286621094
2019-02-15,23.8834228515625,23.033960342407227,32.58984375,44.86179733276367,82.03197479248047,51.471256256103516
2019-02-19,23.95566177368164,23.068815231323242,32.59920883178711,45.09292221069336,81.83760833740234,51.68171310424805
2019-02-20,24.05679702758789,23.216970443725586,32.63665008544922,45.010379791259766,81.74041748046875,51.78459548950195
2019-02-21,23.68475341796875,23.0949649810791,32.650699615478516,45.14243698120117,81.02481842041016,51.68171310424805
2019-02-22,23.75338363647461,23.06010627746582,33.06731033325195,44.92784881591797,81.76696014404297,51.962303161621094
2019-02-25,23.79311752319336,23.15596580505371,33.226463317871094,44.68021011352539,81.88177490234375,51.78926086425781
2019-02-26,23.71726417541504,23.08625030517578,33.29668426513672,44.70497131347656,81.59021759033203,51.85942077636719
2019-02-27,23.807567596435547,23.173397064208984,33.263919830322266,44.63894271850586,81.2103271484375,51.82200241088867
2019-02-28,23.56916046142578,23.11239242553711,33.170291900634766,44.853546142578125,80.97180938720703,51.54140090942383
2019-03-01,24.00261688232422,23.26055145263672,33.394996643066406,44.77101135253906,82.12032318115234,51.95762252807617
2019-03-04,24.04596710205078,23.11239242553711,33.26860046386719,44.69672775268555,81.00713348388672,51.793941497802734
2019-03-05,23.966501235961914,23.025243759155273,33.170291900634766,44.66370391845703,80.96296691894531,51.92489242553711
2019-03-06,23.66307830810547,22.87708282470703,32.99710464477539,44.5976676940918,79.77909088134766,51.68171310424805
2019-03-07,23.52220916748047,22.64178466796875,32.68345260620117,44.30876541137695,79.15181732177734,51.0550422668457
2019-03-08,23.081525802612305,22.63306427001953,32.67877960205078,44.333534240722656,78.98391723632812,50.699607849121094
2019-03-11,23.442739486694336,22.86837387084961,33.380950927734375,44.91133117675781,79.88510131835938,51.39643478393555
2019-03-12,23.59444236755371,22.92066192626953,33.57754898071289,44.92784881591797,80.46819305419922,51.54140090942383
